,source,edge,target
4560,normal animal population,settled with,starting amount
4561,that,found in,also starting Annex
4565,forage area,includes,context
4567,even forage grain,included in,farm
4568,When Section Paragraph,used,2 Income Tax Regulations
4569,average  herds,are,to Appendix L
4571,following,is,exclusive  ownership
4572,so  they,deducted,account
4573,agricultural Field vegetable cultivation,understood,agricultural crop rotation
4574,distinction,made between,cultivation vegetable replica
4575,additional  profit,For,"5,000 starting abbreviation"
4576,It,is up,actual field vegetable growing
4579,remaining  amount,is,hectare starting area
4580,standard  rates,take into,account wages
4581,well trout pond farming,growing,accordingly  profit
4584,524  Value,applies,apartment no.322
4585,always  expenses,applied,when starting amounts
4586,521  business,based on,unpaid  workers
4587,insofar starting they,are,starting amount
4588,treatment,paid for,starting amount
4589,Additional  profits,related to,5231 surcharge 5235
4592,well  who,include,well  workers
4593,Contractors,made available,certain  ordering
4594,wage expenses,are,25 wage %
4598,such income tax reference,made to,62  lit
4600,they,deducted,when  .
4601,lease payments,are,attributable starting amount
4602,also  that,covers,already operating expenses
4604,therein  which,are,such  expenses
4607,individual  it,be,5  percent
4609,business,taken into,owner
4610,Insofar  depreciation,is due,other  business
4611,lessor,estimating,150 hectare land
4612,It,is up,detail
4615,increased  deductions,EStG in,2 starting percent
4617,76 starting register,order of,7 5 St
4618,I,ask,income tax file
4619,high depreciation amounts,is,account
4621,initial  amount,increased for,remaining  use
4622,76 profit 724/49,kept,income tax file
4623,following retirement values,are,pro energy bills
4625,partial  benefits,checked in,individual  case
4628,13 S-2221 St,pointed,26 23 1985
4629,body,informed of,individual  taxpayer
4630,that,disclose,fixed  unit
4633,that,summarized on,4 Annex L.
4634,therefore  livestock,ask in,obviously animal area
4635,41 assessment body,informed by,4 Annex L.
4639,same,applies to,free  charge
4640,This,St,3  4
4641,I,ask,lessee Annex lessor
4643,cases,cases without,responsible tax field audit
4644,also wage expenses,applies,when  profit
4646,possible  profit,evaluated,possible  which
4647,assessment ​​to,ask,when  profit
4648,AO book keeping farmers,obliged,also Annex L
4649,to Annex which,applies in particular,only valuation farmers
4651,section,contains,basic  sales
4652,similar balance reference,is sufficient,relevant Annex documents
4654,4,is for,commercial animal breeding
4656,applicable  type,is important,profit determination
4657,who,ask,full Appendix future
4658,system,returned for,completion
4659,who,be advisable,next Annex L
4662,taxable St that,II,BdF IV C
4663,1987 Karte 1OFD Frankfurt,St,21 St 30011987InvZulG
4677,investment that,allowancesA,criminal offenses99Second part
4678,Economic goods171 which,requirements for,movable investment assets191
4681,1986 Federal Law I,p,28 Investment Allowance January
4683,12 Law Gazette I,p,12 Berlin Promotion 1986
4686,investment grants,granted from,income tax
4688,terms,are,1985 BStBl II p
4691,individual Supreme court decisions,apply in,therefore Investment Allowance Act
4692,1982 Federal Law I,p,1982 5a June
4694,6 BMF I,S,6 BMF 1982
4699,31 4a BerlinFG,apply with,federal  states
4700,business investments,EStG,investment grants
4701,same investment allowance,is,1978 BStBl II p
4704,legal Transformation successor,takes,legal  entitlement
4705,legal investment predecessor,entitled to,legitimately  it
4706,even investment conditions,follows,legal  predecessor
4707,granting,depend on,specific profit determination
4708,also  profit,are,Section
4709,taxpayer,require,all income tax
4710,exempt investment they,cf,economic  business
4712,taxpayers,include legal,public Income Tax law
4713,only investment they,.,commercial  nature
4714,commercial  reference,made to,Section
4715,subsidiary group who,entitled,investment allowance
4716,internal  that,include internal,internal  companies
4718,accordingly  profits,EStG,several  Section
4719,one business partnership,entitled,one business shareholders
4720,business same,applies to,investment companies
4721,independent investment they,GewStG,Section
4722,separate  determination,is,corporation them
4723,separate business owner,entitled,pro rata basis
4724,fixed investment 1,acquisition of new,fixed production assets
4725,investment asset,excluded,investment allowance
4726,2  Acquisition,is,third  fee
4727,transfer,is,1967 III p
4729,that,assumed,same  calendar
4730,Financial  year,transferred to,1970 BFH BStBl
4732,15  time,is,delivery
4733,purchaser,acquired at,contracting  parties
4734,when  ownership,is,1977 BStBl II p
4736,only assembly work,delivered,purchase seller
4737,beneficiary,is,supplier
4739,Production,is,existent  asset
4740,it,completed at,time
4741,soon  it,completed,intended  purpose
4742,that,p,15 BFH July
4744,only  that,include,permanent  basis
4745,clearly  accounting,EStR,presumption
4746,Repair materials,included in,fixed  assets
4747,spare  that,applies,asset
4748,when  they,p,BFH 30
4751,operational  activity,regarded,one  asset
4752,only  they,be present,3  EStG
4753,Legal  persons,have,commercial  nature
4754,only investment they,EStG,economic  Section
4755,fixed investment assets,is,commercial  operations
4756,also  it,applies,built  Sections
4757,movable assets reference,made to,Section
4758,that,counted as movable,1968 BStBl II p
4760,such investment allowance,considered as,subsequent construction building
4762,concrete  that,for,finished  floor
4763,usually  it,is,movable  asset
4764,connected floor coverings,are,economic  asset
4765,3 dummy components,belong,No
4766,fixed  they,classified as movable,fixed  assets
4767,movable  assets,arises,temporary construction work
4768,installed  assets,BStBl,24 BFH November
4771,longer  they,given,longer  which
4772,Leasehold  improvements,operating,1976 BStBl II p
4774,immovable manufacturing reference,made to,No
4776,movable  acquisition,favored,fixed  assets
4777,then  benefit,is,1981 BStBl II p
4781,partial  value,is,used  production
4784,company,is,economic  good
4788,inland waterway vessel,is,1980 BStBl II p
4790,that,is,new self production
4791,partial  value,is,temporal  purchase
4794,later  asset,used on,1968 BStBl II p
4796,rental  period,applies,1986 BStBl II p
4798,also  it,is,1979 BStBl II p
4800,what,is harmless,asset
4801,asset,conflict with,long  time
4802,even  freedom,granted,valuation
4803,useful investment life,excluded for,1979 BStBl II p
4807,immovable  assets,EStR,such Section fences
4808,Streets,cf,third party land
4809,insofar  assets,operating,to  equipment
4810,1976 BMF I,S,6 BMF 15
4811,immovable tax he,treated like,1979 II p
4814,taxable  expenses,treated like,1984 BStBl II p
4815,administrative tenant a,are attributable,tangible  assets
4819,considerable construction they,regarded as,operational  purposes
4823,to  138,see,b letter No
4824,they,p,movable BFH 6
4828,38 investment allowance,granted,10  %
4834,exclusive  use,InvZulG,operational  law
4835,employment it,used in,extent
4836,he,is irrelevant,May 1986 BStBl II p
4838,only  they,are,1 business beneficiary
4839,this,given,law
4840,stated  conditions,exist without,interruption
4841,41  Remaining,means,spatial  asset
4842,economic  asset,require,delimited  establishment
4844,economic  which,considered for economic,permanent  beneficiary
4846,they,transferred to,4 4a InvZulG
4847,fundamentally  assets,fulfilled,company
4849,individual investment reference,made to,1  Section
4856,20 § asset,are,legal year successor
4857,1985 BMF I,S,45 BMF 10
4858,federal tax it,is harmless,permanent operating company
4859,holding  company,entitled,investment allowance
4861,same,applies to,owner
4863,100 % it,is equivalent,1968 BStBl II p
4866,leased leasing item,applies to,lessee
4867,when year company,occurs in,permanent advertising activity
4868,Only  opening,is harmless,advertising activity
4869,prematurely  that,is,1977 Federal Tax Gazette
4872,even business changeover,case,1980 BStBl II p
4874,useful  life,p,BFH 9
4880,same  it,applies to,1968 BStBl II p
4882,subsequent production information,presupposes,investment allowance
4883,partial production paragraph,applies,already  payments
4884,that,granted for,financial  year
4885,It,measured,separately investment allowance
4886,movable  that,is,financial  year
4887,intangible acquisition that,costs for subsidized,financial  year
4888,assessment basis,include,subsequent production work
4889,costs,are,partial assessment basis
4890,fixed  acquisition,see,1967 III p
4892,7  EStG,taken into,1976 II p
4894,economic assessment which,EStG,deductible business Section
4895,Section,p,2 2 1979
4898,partial production costs,(,hidden Income Tax reserves
4900,acquisition Section 9b EStG,observed,acquisition  costs
4901,it,are,operation
4902,operational  they,includes,individually  asset
4903,acquisition costs,include,financing
4906,financial investment it,taken into,financial investment which
4907,financial  they,is,financial  which
4908,acquisition costs,p,13 BFH August
4912,foreign assessment basis,is,1978 II p
4914,61 production reference,made to,33 Income Tax Regulation
4915,that,are,asset
4916,insofar acquisition they,include,1981 BStBl II p
4918,production that,For,economic  asset
4921,33 investment they,included in,income taxation
4922,expenses,included in,uniformly income taxation
4923,only  beneficiary,favored,manufacturing them
4924,only  production,favored,immovable  assets
4925,Manufacturing costs,involved in,prefabricated  houses
4926,only  expenses,included in,production costs
4928,else  judgment,apply beyond,decided  case
4929,reference,sentences,5 Section EStG
4930,Partial production costs,p,15 BFH November
4932,corresponding  payments,is irrelevant,financial  year
4933,partial production costs,include,financial construction year
4934,Advance payments,favored,1982 BStBl II p
4936,partial production costs,included in,therefore assessment basis
4937,construction they,serve as,partial production simplification
4938,subsequent production work,To,67 production extent
4939,138 production costs,are,also investment allowance
4940,production reference,made to,No
4942,related production which,EStR,production Section
4943,68 investment allowance,calculated,financial investment allowance
4944,following  overview,shows,1 border area
4946,far Investment acquisition,allowance according,"500,000 production DM"
4947,far  acquisition,bb,"500,000 production cent"
4949,b  provided,exceed,"500,000 production DM"
4950,acquisition,exceed,30  percent
4952,preferential  treatment,%,Section
4953,assessment that,cc,2 production BerlinFG
4954,2  BerlinFG,is,cent
4955,individual investment reference,made to,No
4958,69 investment grants,granted for,4 extension side
4959,investment allowance,granted in,§ investment InvZulG
4960,partial production Section,submitted,3  InvZulG
4961,preferential  that,applies to preferential,already  operations
4962,statutory application reinstatement,leads to,1976 II p
4964,application,made,1976 BStBl II p
4966,71 tax application,submitted to,responsible investment allowance
4969,granting,is different,investment one
4971,1  application,submitted to,also  para
4973,72  application,submitted,prescribed investment form
4974,sufficient application they,specified in sufficient,follow up examination
4975,also investment allowance,applies in,1979 BStBl II p
4977,only  it,is,application period
4978,personal investment allowance notice,supplemented by,personal application beneficiary
4979,handwritten  signature,dispensed with,application form
4980,permanent  declarations,made by,only  himself
4982,4 4a application,accompanied by,competent  certificate
4983,it,submitted,yet  time
4984,financial production designation,made,application period
4985,long  decision,applies,1984 BFH BStBl
4987,beneficiary investment allowance,state,beneficiary production which
4988,long investment allowance notice,retrieved,procedural  regulations
4989,3 investment allowance,dependent on,also business law requirements
4991,commercial law requirements,made by,certificate
4992,certificate,is,1976 BStBl II p
4994,economic  authorities,are,economic law requirements
4995,certificate,p,legal BFH August
4997,legal certification process,is available,certification procedure
4998,certificate,is,basic  Section
4999,specifically tax law issues,is,1981 BStBl II p
5001,administrative tax statute,apply to,it
5002,certificate,issued,basic tax assessments
5003,long  it,is,economic  authorities
5004,it,cause,issuing certificate
5005,§ 2 certification authority,determines,6  InvZulG
5006,significantly  that,arise in particular,beneficiary investment investments
5008,newly 4a it,have,certifying authority
5009,it,ask,certification certificate
5010,2 investment profits,EStG,2 tax Letter
5011,that,applies,assets
5012,separate tax income,AO,separately  Section
5013,2 Letter b object,is,commercial holiday apartments
5014,separate laboratory determinations,cf,similar laboratory which
5015,21 sales community,granted by,favorable  parties
5016,1 tax office,notified of,1 investment allowance
5017,5 tax InvZulG,BerlinFG in,19  Section
5018,investment allowance,is,other investment allowances
5019,therefore investment decision,precluded by,investment allowance
5020,valid  application,taken into,account
5021,investment allowance,set before,relevant calendar year
5022,other  requirements,are,when investment allowance
5023,when investment allowance,is,provisionally  Section
5024,economic  goods,monitored,cases
5025,payments,found,partial production example
5027,investment allowance notice,AO,Section
5028,conclusively investment allowance,is,subject  review
5029,names,issued in,investment them
5030,authorized  recipient,made known,everyone
5031,proportionally  participants,paid,joint  beneficiary
5032,investment allowance which,requires,1986 BStBl II p
5034,5 tax InvZulG,BerlinFG in,19  Section
5035,always  assets,revoked,three year Sections
5036,beneficial  Section,used to,beneficial  purposes
5037,19 investment allowance conditions,applies to,provision
5038,176  AO,revoked,cancellation
5039,provisional  nature,applies,provisional  notice
5040,calendar application,begins at,calendar which
5042,Section,expire,application
5043,year investment allowance decision,is,certificate
5044,regardless  withdrawal,are,certificate
5045,immediate investment execution,is,administrative  act
5046,19 equity BerlinFG,permitted,163 investment subsidy
5047,investment allowance,p,legal BFH December
5049,other  provisions,apply,accordingly investment allowance
5050,investment repayment,follows,whole  part
5051,also  amendment,waived in,1975 BStBl II p
5053,95 investment that,is,due  taxes
5054,expected investment taxes,deferred upon,222  AO
5055,that,is,timely investment allowance
5057,deferral  interest,set,Section
5059,even investment allowance application,is,already calendar year
5060,soon investment it,assigned,Section
5061,soon 4a certificate,arises at,provisions
5062,late  period,is,one investment allowance
5063,Interest,charged on,repayment
5064,8)  conditions,BerlinFG on,investment subsidy notice
5065,due  date,run,ends
5066,run,ends on,payment
5067,interest,is,full  month
5068,repayment amount,rounded,German  marks
5069,1 DM Amounts,are,DM
5070,late payment surcharges,AO in,5  InvZulG
5071,deferred  interest,charged according,234  AO
5072,interest obligation,based on,237  AO
5073,binding investment allowance,revoked,binding court beneficiary
5075,1976 Federal Law I,p,29 Combat Economic July
5078,AO § act,violate other,criminal  laws
5079,individual  investment,grants,A
5080,3,is,spatial  planning
5081,Evidence,provided by,certificate
5083,favorable tax law investments,is,commercial investment project
5084,permanent  establishment,is attributable,beneficiary
5085,that,concerns,certified investment project
5087,permanent border investments,serve,replacements
5088,remaining  requirements,110,3  InvZulG
5090,permanent  definition,is decisive,permanent  establishment
5091,permanent  establishments,considered,same  municipality
5092,commercial  enterprise,see,2  Abs
5094,only investment projects,noted,commercial  premises
5096,also investment project,include,1981 BStBl II p
5098,review,is,particularly tax group
5099,beneficiary  that,is,material investment context
5100,factual  assets,is,investment certificate
5101,departing  asset,missing,same  type
5102,sold,purchased,replacement car
5103,that,related to,certified investment projects
5104,economic  that,include economic,up  certificate
5105,108  which,5,No
5106,certified investment allowance,is,investment project
5107,application,sentence,2  June
5108,that,excluded from,investment allowance
5109,2  investments,serve,replacement
5110,different  that,exist,technical  superiority
5111,also passenger it,is,retired passenger car
5112,fixed business which,InvZulG,years  construction
5114,also business they,fulfilled,three year period
5118,14  it,assumed,areas
5119,same,applies to,containers
5120,internal  requirements,apply,investment allowance
5121,internal Section Paragraph,continues,internal  purposes
5122,immaterial  assets,benefited,expanded  buildings
5123,assets,used for,years  beneficiary
5127,permanent  it,is harmless,beneficiary  purposes
5128,well investment expansions,is,only tax law requirements
5129,assessment,required,economic  authorities
5130,significant manufacturing changes,used for,products
5131,accordingly  that,applies,5  provision
5132,that,Software,third  data
5133,that,is,new  products
5134,also  that,Section,indirectly  research
5135,Section,applies,economic  goods
5136,only  they,are,1978 BStBl II p
5138,only  assets,considered,than 66 cent
5145,reduced  share,remains,favor
5146,1  building,Example,750  sqm
5147,part,used,exclusively  research
5148,square year meters,used by third,third  parties
5149,privileged  use,applies,respect
5151,.,EStR,1 Section 13b
5152,2  building,used,2  completion
5153,part,used,exclusively  research
5154,square year meters,transferred to,own production area
5155,part,is,company
5157,intangible investment asset,bb,exclusively  Section
5158,further manufacturing that,benefited,basic  research
5160,requirement,proven by,certificate
5162,ongoing  that,In,uncertain  size
5164,seller,is,closely  purchaser
5165,intangible  asset,remains in,years  those
5167,assessment production,favored,intangible  assets
5168,ongoing  that,consist of ongoing,uncertain  parameters
5170,which,agreed for,one  installments
5171,manufacturer,is new,yet usage rights
5174,right,is,use
5175,2  AStG,be,Related  Section
5176,who,are,economic  interests
5177,1  this,is,25  percent
5178,contractual business who,exists,own  income
5179,influence,is irrelevant,other  claimant
5180,exerts,is,substantial  participation
5185,Insofar investment acquisition,taken into,when investment allowance
5188,acquisition assessment costs,incurred for,corresponding advance payments
5189,only production half,determines,total assessment basis
5190,2  it,correct,financial assessment years
5194,likely  conditions,are decisive,business delivery
5195,final production costs,are,fiscal  account
5196,intangible  assets,favored to,fiscal  which
5197,130 assessment basis,costs of,expanded Manufacturing No
5200,movable purchase that,Payments on,extended production No
5201,1  that,completed in,financial  years
5203,fiscal  that,completed in,fiscal assessment years
5204,1 acquisition that,Example for,1 acquisition 1988
5206,"DM3,86300 Advance payments",BC,"DM3,86300 patent 1988"
5207,"1987500,000 acquisition costs",basis,"1988500,000 DM assessment"
5209,"1,000,000 investment allowance",is,"1,000,000 investment allowance"
5210,insofar manufacturing acquisition,costs of,"500,000 manufacturing DM"
5211,acquisition  Section,sentence,3  InvZulG
5212,increased investment amount,is decisive,financial  year
5213,it,reduced,partial production costs
5214,Advance  payments,receive increased,annual advance maximum
5215,advance payments,A,"400,000 acquisition DM"
5216,"100,000",paid,DM
5217,"economic acquisition 150,000",delivered,"800,000 acquisition DM"
5218,"200,000",paid on,delivery
5222,"100,000 DM-1988 acquisition Down",payments,"DM-200,000 DM Down 1989"
5223,certain § 4a I,overview,particularly Section energy
5224,technical  system,.,generation energy distribution Section
5225,requirement,proven by,certificate
5227,technical  systems,are independent,immovable 4a asset
5228,2  expenses,are,3 Section InvZulG
5229,3 Section 4a InvZulG,remain in,years  acquisition
5230,3 Section InvZulG,used,remaining waste heat period
5232,II Beneficial II investments,expanded,parts district heating networks
5233,tax office,determines,immovable  asset
5234,preferential  treatment,includes,existing district heating network
5235,district heating network,includes,technically heating i
5238,industrial investment allowance,considered as,beneficiary  asset
5239,they,is irrelevant,building  equipment
5240,delimitation,is,1982 1983 II p
5242,only  system,has,beneficiary  purposes
5244,2  Delimitation,considered for,apart acquisition delimitation
5246,only manufacturing they,are,building  equipment
5247,existing heating expenses,Section,installation
5248,manufactured  that,p,25 BFH October
5250,Only  transfer,InvZulG,harmless  Section
5252,to  49,used during,contrary year No
5253,139,serve,exclusively waste heat
5254,only  sentence,limited to,only  part
5255,141 investment allowance,granted,movable  assets
5256,that,cf,buildings
5262,142 investment allowance,is,movable  assets
5264,that,granted for,privileged  purposes
5265,143  granting,is,only tax law requirements
5266,assessment,required,economic  authorities
5268,50,included in,special  register
5269,145 investment allowance,considered for movable,economic  purchase
5270,school Section,sentences,school purposes
5271,passenger that,considered for,school purposes
5272,passenger that,For,self drivers
5273,also passenger vehicles,granted,private  purposes
5274,usual  that,exists,beneficiary use
5278,146,is detrimental,operational investment allowance
5279,Rental,see,third self drivers
5280,third  party,149,beneficiary passenger purposes
5281,however  it,Use for own,10  %
5286,trips,refuel,9  %
5288,investment allowance,granted for,passenger car
5289,1  owner,use,private driving purposes
5290,proportion,is,driving  instructor
5291,indeed  it,is,operational  purposes
5292,investment allowance,granted for,passenger car
5297,also  who,include,private passenger purposes
5298,Private  use,is,tenants
5300,investment allowance,granted for,passenger car
5301,1972 Vehicle Tax I,p,valid Vehicle Tax 1978
5305,also  goods,applies,passenger it
5306,usable passenger area,is,goods
5307,that,includes,car body
5308,decisive  factor,is,structural motor vehicle
5310,mobile passenger it,made for,mobile passenger workshop
5311,only  restoration,is,1977 BStBl II p
5313,Mobile  homes,are,passenger vehicles
5314,that,BerlinFG,passenger Section
5316,4 Federal Law I,p,4 self 1955
5317,1960 Federal Law I,p,7 amending July
5318,1969 Law Gazette I,p,21 amending July
5320,commercially  activity,exists,supervisory  authority
5321,commercial self that,take,other  subject
5322,rental  business,is,commercial  enterprise
5324,managing  that,occurs,1970 BFH BStBl
5326,particular passenger vehicle,assumed in particular,tenant
5327,subsequent investment allowance,paid,only  No
5330,Courtyard fortifications,favored,1976 BStBl II p
5334,when  buildings,costs,previous  condition
5336,that,No,assets
5340,buildings,extensions,immovable West Section
5341,immovable  assets,BerlinFG,2  Letter
5342,accordingly  requirements,must,14  BerlinFG
5346,production work,meet,requirements
5348,limit,exceeded,individual beneficiary asset
5349,also  building,EStR,independent  assets
5350,well  expansions,serve for more,80  percent
5351,beneficiary  area,purposes,than  cent
5355,storey it,is,storey height
5357,use,assigned to,wholly  privileged
5358,that,taken into,preferred floor purposes
5359,7 Design offices,serve,beneficiary  purposes
5360,predominantly  who,applies to sanitary,aa ee BerlinFG
5361,Original Letter aa production,belong to,1976 BStBl II p
5363,expenditure,recognized as,1973 BStBl II p
5365,economic  goods,exist,simplest  spoilage
5366,substantial  impairment,is,asset
5367,lubricating  machines,p,laundry BFH 16
5369,main  purpose,is,weather
5370,usual maintenance work,used for,minor  them
5371,same  it,is,beneficiary  buildings
5372,double dd reference,made to,No
5374,only ee management,letter,double no.2 letters
5375,indirect beneficiary connection,is,directly beneficiary activities
5376,expenditure,EStR,production costs
5377,expenses,Clause,sales costs
5378,only income this,is,1 no.2 letter
5379,operational  accounting,housed in,one production room
5380,expenses,included in,operational production costs
5381,expenses,is,functional  activities
5382,room,is,beneficiary  rooms
5383,2  part,housed in,manufacturing  room
5387,functionally  they,caused by,favored  activities
5388,that,be,beneficiary  activities
5391,breakdown,is unnecessary,example
5393,favored  production,is,economic  sale
5394,room,is,favored  rooms
5395,stored Letter ee inventories,meet,Section
5396,166  connection,presuppose,spatial  stocks
5398,also  beneficiary,applies,permanent  which
5399,raw material store,carried,spatially goods Berlin
5400,also West buildings,para,14 production para
5401,beneficiary construction work,served,beneficiary  purposes
5402,only  they,favored,manufacturing costs
5405,14  Section,apply,158  1981
5406,immovable  that,carried,buildings
5409,hotel  ratio,Item,three  allocation
5412,eight  acquisition,are eligible,19 West Berlin
5415,movable  asset,p,permanent BFH 18
5416,permanent  3,judgment of,1977 BStBl II p
5418,insofar  they,have,1986 BStBl II p
5419,even  this,493,2  Paragraph
5420,beneficiary passenger reference,made to,No
5422,also  buyer,p,31 BFH July
5424,Renting,is harmful,private  use
5425,self reference,made to,No
5427,Economic  which,For,inland  vessels
5431,vehicle that,No,1  Paragraph
5433,vehicle proof,cf,1 control Ordinance
5437,three  it,is,outside  Berlin
5438,only  assignments,given,three year period
5439,Berlin operating bus,affirmed,1970 BFH BStBl
5442,short term use,is harmless,Berlin
5443,when  asset,is,three year period
5444,inland inland waterway vessel,applies to,eight year period
5445,than Berlin half,used in,eight Berlin acquisition
5446,also Berlin charge,is,least  cent
5449,that,are,Berlin
5450,3 Berlin summons,begins,3 no.2 letter which
5451,deletion,terminated,harmful  paragraph
5453,Berlin picking,at,harmful  paragraph
5454,deletion,ended,part
5455,waterway vessel sails,are,which
5456,also  journey,include,also  which
5457,when  ship,goes for,new  load
5458,barge,determined by,3  5
5459,2  3,sentences,two waiting Berlin
5460,one Berlin it,assumed,136 Berlin journeys
5461,immovable production they,granted for preferential,Berlin  belong
5463,investment allowance,is,cent
5464,manufacturing it,increases to,25  BC
5465,requirements,costs,Section
5467,1985 investment allowance,is,1 building 4
5469,31  Paragraph,begins in,Section
5470,immovable investment assets,granted,years  production
5472,newly  parts,granted for,years Letter manufacture
5473,subsequent production work,granted,4 letter BerlinFG
5474,1 BerlinFG uses,designated beneficial,beneficial  purposes
5475,Sentence,apply to,1 hotel Section
5478,internal  requirements,apply,19 investment BerlinFG
5479,reduced  use,continues,corporate  this
5480,1  building,Example,750  sqm
5481,part,used,certain  assets
5482,square year meters,used by third,third  parties
5483,investment allowance,reclaimed,respect
5484,Section Paragraph,remains,than  cent
5487,2  building,used,2  completion
5488,part,used,exclusively  research
5489,square year meters,transferred to,own production area
5490,part,used for more,80  percent
5498,3  building,used,3  completion
5499,which,has,square  meters
5501,square year meters,taken,sales department
5502,part,used with,square  meters
5507,191 construction industry delimitation,rulings of,1975 BStBl II p
5511,principles,apply,1976 BStBl II p
5515,legal  claim,derived from,2 State Statistical Office
5516,company,made by,tax office
5517,also  trade,applies above,systematic  directory
5518,only manufacturing activity,p,BFH 23
5520,permanent  sentence,applies,permanent  establishment
5521,business,is harmless,1976 BStBl II
5523,mixed  activity,decided according,individual  case
5524,sales,considered as,1976 BStBl II p
5526,term  reference,made to,No
5528,used,judged on,respective  company
5529,is,drawn,increased  privileges
5532,also drinks which,machine for,1973 BStBl II p
5535,also  acquisition,used for,1976 BStBl II p
5537,that,Furthermore,immediate end user
5539,administration,used for,production area
5540,insofar  they,include,1976 BStBl II p
5542,that,given higher,higher  discounts
5543,goods,includes,more  damage
5545,product,includes,inner  packaging
5546,only  this,used,product
5547,instant packaging machines,used for,1978 BStBl II p
5549,favorably  it,p,primarily BFH 27th
5551,economic  good,applies,1976 BStBl II
5553,Double Letter aa,is,own data processing company
5556,beneficiary  assets,used,directly data processing
5557,Economic  that,(,indirectly data processing
5560,regardless manufacturing they,favored,company
5561,movable  that,granted for,directly district heating plants
5562,preferential  that,restriction of,production
5563,only  that,is,high voltage network
5565,only  they,benefited,subsequent production costs
5567,even district heating it,is,uniform  asset
5568,203 term data reference,made to,No
5570,regardless district heating they,are eligible,operational  areas
5572,commercial  focus,include commercial,other works services
5573,systematic  directory,used as,economic service sectors
5574,general  beneficiaries,are,7  companies
5575,only  activities,includes,commercial  Section
5576,Businesses,belong to,4 service sense
5579,turnover,is,outside calendar Berlin
5580,turnover,relate to other,50 calendar percent
5581,also  that,applies to,also  companies
5582,already  client,are,outside  Berlin
5583,result,is,economic  Berlin
5585,208 terms reference,made to,No
5587,relevant  asset,is sufficient,indirectly  research
5589,209 investment allowance,is,cent
5590,insofar  acquisition,costs of,"500,000 production cent"
5591,acquisition  Section,sentence,4 no.1 letter
5593,increased investment allowance,applies to,No
5595,even  assets,granted,exclusively  research
5596,even  they,However,4 investment InvZulG
5597,122,come into,consideration
5598,beneficial investment asset,is,years investment acquisition
5599,three investment allowance,required for,25  asset
5602,asset,fulfills,three year period
5605,permanent business premises,considered for,another
5607,rented business business,is,1977 BStBl II p
5609,three investment that,granted,three investment allowance
5610,lower investment allowance,is,use
5614,increased investment allowance,claimed,immovable  assets
5616,subsequent production work,assets on,years  production
5619,terms reference,made to,No
5622,newly  parts,exceed,three year period
5628,three year building,Example,250 sales purposes
5629,building,used for more,80  BC
5633,However  building,serves,80  BC
5636,three year proportion,reduced,increased investment allowance
5638,14 investment allowance,is,14 building 1985
5639,31  Paragraph,begins in,Section
5640,5 BMF I,S,5 BMF 1977
5652,19  letter,takes,place
5656,Severance payment,In,agricultural profit etc
5659,initial  value,recorded in,4000 Valuation DM
5660,value,exceeds,2000  uses
5661,financial  law,recorded in,Income Tax Act
5662,profit,In,only  etc
5665,financial  law,include,initially Section 13a Paragraph
5666,3  I,S,introductory  27
5668,Stpfl,hops,Appendix hops
5669,following  points,assumed,When  information
5671,565 370 565 Contract,aid,DM ha515754754 f
5675,same EC producer area,is larger,unit assessment
5676,It,covers,covered  area
5677,following lump which,taken into,entire production costs
5678,therefore  maintenance,set,321 BMF Schr
5679,878  D,taken into,1 manufacturing phase
5680,taking,bound by,incorrect profit estimate
5681,Income Tax profit,assumed in particular,Income Tax Act
5682,lump sum scaffolding system,is,leased  area
5683,hail hail these,are,government grants
5684,actually tax Wages,growing,hop
5685,insofar  it,taken into,hops
5686,When  it,is important,wage tax consequences
5688,actually operating this,is,records
5689,following  guidelines,DMDMDMDM,yield area
5690,first asparagus year,is,4th asparagus area
5691,Direct  sales,taken into,own  account
5692,also  they,deducted,permanent  workers
5693,this,checked,also tax consequences
5694,tax offices,bound by,individual profit cases
5695,amounts,are,operating expenses
5696,sales tax,are in,input o
5698,financial  profits,are,operating operating expenses
5699,taxpayers,are,2 income tax return
5700,stated operating income,checked in individual,individual payment cooperatives
5701,Such  tests,carried,individual  cases
5703,new  facts,changed,effect
5704,tax law measures,is up,tax office
5707,93  information,obtained in individual,when producer estimates
5708,following lump taxpayer,are,credible operating records
5711,production depreciation,deducted,flat  rate
5713,This,is,1 planting year
5714,lump sum,deducted for,financial  year
5715,also building maintenance,includes,vineyard
5716,he,I,15 BMF December
5717,Kartei F IV,taken,2 maintenance costs
5718,maintenance that,reduced,production costs
5719,only  he,set in full,depreciation
5721,right,is,annual  beneficiary
5724,taking,bound by,incorrect profit estimate
5725,financial land consolidation,deducted,financial  year
5726,VAT,wages for,actually tax excl
5727,insofar  it,taken into,viticulture
5728,When  it,is important,When  wages
5729,self borne expenses,spread,1 1984 S-1916 3/83
5730,Additional pest number,stones,helicopter sprayings
5731,that,see,expanding L companies
5732,harvest quantities,carried,family members
5733,well  that,I,1982 Federal Law Gazette
5734,autumn entry,keep cellar,20 state September
5735,growing  companies,card,also tax purposes
5736,wine stocks,I,key tank dates
5738,records,are,when operating income
5739,following plant list,serves as,also framework estimates
5740,horticultural Section which,are gross,wholesale  prices
5742,potted  rates,be,potted  plants
5745,proceeds,are,predominant  vegetables
5748,lower  half,used as,upper  frame
5751,VAT determined,adjusted for,framework VAT
