,sentence
6258,This also applies if wage expenses are set at an estimated amount when determining the profit (cf.
6259,No. 525 section 4)
6260,"63 Unit value notifications Unit value notifications for agricultural and forestry assets must always be evaluated promptly, particularly because of the possible effects on the way in which the taxpayer's profit is determined"
6261,"64 Consultation of the valuation files when carrying out the assessment In particular when determining profits in accordance with Section 13a of the Income Tax Act and in cases of assessment, I ask that you refer to the assessment files for the assessment and review of the values ​​to be applied in the individual case when calculating profit"
6262,"65 Review of Annex L According to Section 150 (1) and (2) AO, book-keeping farmers are also obliged to fill out tax returns, including the annexes, and thus in particular also Annex L, completely and truthfully"
6263,"This applies in particular to the area data in lines 32 to 50 of Annex L, which are not only indispensable for the taxation of valuation farmers, but also"
6264,"also serve to check the applicable profit determination method, to test profits and to be able to monitor value updates"
6265,"The section ""Sale / Withdrawal of Land"" contains the essential basic information required to examine profits from sales and withdrawals"
6266,"If the required information can be clearly found in the individual case from the balance sheet or similar documents, a reference in Annex L to the relevant documents is sufficient"
6267,The information on p
6268,4 to the livestock is for the demarcation of the agricultural from the commercial animal breeding or
6269,"Animal husbandry, for checking the accounting requirements and, if necessary,"
6270,the applicable type of profit determination is important
6271,I would therefore ask you to work towards ensuring that farmers and foresters who keep books also fill out Appendix L in full in future
6272,"If this does not happen, the system must be returned for the purpose of completion"
6273,"It should be advisable to advise consultants who, to the knowledge of the tax office, look after farmers and foresters to a large extent, in good time before submitting their next tax returns, of the requirement to fill out Annex L in full"
6274,The plants were not included
6275,Criminal tax lawIncome tax / wage tax / church taxAccountingEvaluationProcedural law / tax codeTax auditNorth Rhine-WestphaliaAgriculture Farmer Agriculture
6276,The Federal Minister of Finance IV B 7 - S-1901 - 392 / 88S-1900O-1008S-2000S-1900 - 51 - St 115 / O-1008 - 8 - St 612S-2000 - 31 / St 21S-1901S-1900 - 51 - St 115 / O-1008 - 8 - St 612S-1900 -O-1008 -S-2000 -S-1901 -O-1008-Repealed for tax items that were realized after 31122004 by BdF IV C 6 - O- 1000/07/0018 v
6277,"29 3 2007 (coordinated state decree - ""Letter to contain the flood of norms"") Bibliography of the relevant administrative instructions: NWOFD Cologne S-1900 - 51 - St 115 / O-1008 - 8 - St 612 of 25/08 / 88BYOFD Nuremberg S-2000 - 31 / St 21 from 19/09 / 88OFD Munich S-2000 - 9/6 St 212 v"
6278,12 10 1988 Felix BB 1988 2011 (on Art
6279,15 StRefG 1990) Tax Reform Act 1990: here: Compilation of the changes in the Tax Reform Act 1990 I am sending you a compilation of the changes in the Tax Reform Act 1990 that are significant for the tax administration with a brief reproduction of the content
6280,Changes that are of a purely editorial nature or contain adaptations to other changed regulations are only mentioned if this appears appropriate for better understanding
6281,The compilation can m
6282,Provide a quick overview of the legal changes and should therefore also be suitable for forwarding to the regional tax offices and tax offices
6283,Changes to the Income Tax Act (Article 1 of the Tax Reform Act 1990) 1 Tax liability The 1986 Tax Adjustment Act of 19 12 1985 (BGBl
6284,"2436, Federal Tax Gazette I p"
6285,735) with effect from VZ 1981 amended provision of Section 1 Paragraph 2 EStG is to be applied retrospectively from VZ 1975 (Section 52 Paragraph 2 EStG)
6286,2 Negative foreign income The benefits of the Foreign Investment Act (AIG) will - with the following exception - be canceled from the assessment period 1990
6287,The possibility of offsetting losses from foreign permanent establishments previously contained in Section 2 AIG is retained through adoption in Section 2a Paragraph 3 and 4 EStG
6288,3 Tax-free income The tax exemption for service and prospective salaries that are paid as maternity allowance for the period of maternity leave (§ 3 No. 1 letter d EStG) is deleted
6289,"From VZ 1990, the tax exemption according to § 3 No. 11 EStG is made dependent on the fact that the recipient is not obliged to provide a certain economic or artistic consideration or to an employee activity with the payments (so far § 3 No. 44 letter b EStG)"
6290,The amendment to Section 3 No. 13 EStG creates an express legal basis for the tax exemption of the separation allowances that have already been treated as tax-free
6291,The tax exemption of marriage and childbirth grants according to Section 3 No. 15 EStG is now set at DM 700
6292,Section 3 No. 16 EStG now finally regulates which income-related expenses the employer can reimburse the employee outside the public service without tax
6293,The reimbursement of other income-related expenses by the employer is no longer tax-free in future
6294,The compensation that was previously exempt from tax under the Federal Disease Act for reasons of equity is now expressly exempt from tax under Section 3 No. 25 EStG
6295,The so-called
6296,"Tip exemption (§ 3 No. 51 EStG), is increased from 1200 to 2400 DM"
6297,"The provision of Section 3 No. 63 EStG, which was changed with effect from VZ 1989, is intended to ensure that certain income in Germany only remains tax-free if it is actually used in the GDR for income tax or a tax equivalent to income tax"
6298,"The tax exemption according to § 3 No. 68 EStG for certain interest savings and interest subsidies by the employer is abolished from 1989; Interest savings and interest subsidies from loans received before 1989 remain tax-free for a further 12 years up to the calendar year 2000 (see Section 52 (2c) EStG), but only if the benefits do not exceed those granted in the calendar year 1988"
6299,"4 Tax exemption for certain wage supplements From 1990 onwards, with regard to the extent of the tax exemption for wage supplements, there is no longer any distinction between whether and to what extent wage supplements are regulated by law or stipulated in collective agreements or not"
6300,Section 3b EStG therefore provides for a uniform tax treatment of wage supplements
6301,Paragraph 3 contains a special regulation for those employees who spend more than 50 percent of the time in the wage payment period
6302,Do night work and have started night work before 000 o'clock
6303,"For these, the surcharge increases to 40 per cent"
6304,"In addition, the preferential Sunday and public holiday work for these employees is extended to 400 a.m."
6305,"Furthermore, a transitional regulation has been created in Section 52 (3) EStG, which is intended to prevent future taxation of statutory or collective bargaining supplements for Sunday, public holiday and night work leading to net wage losses at the time of their taxation"
6306,"5 Regulations for determining profits From the assessment period 1990 onwards, according to Section 4 (5) No. 2 EStG, entertainment costs for business reasons may only amount to 80%"
6307,reasonable and documented expenses are deducted as operating expenses
6308,"If employees of the taxpayer take part in the entertainment, the deduction is to 80%"
6309,limited
6310,Only the costs of the pure employee entertainment (e.g.
6311,at company parties) are fully deductible
6312,The official form previously required for proof is no longer required; written information is sufficient
6313,The innkeeper’s signature on the restaurant’s bill is also no longer required
6314,The already applicable limit of 140 BC
6315,"the highest daily allowance amounts of the Federal Travel Expenses Act, up to which additional meal expenses may be deducted, is determined in § 4 (5) No. 5 EStG itself; §§ 8 8a EStDV are thus dispensable"
6316,"From the assessment period 1990 onwards, according to the new number 8a of Section 4 (5) EStG, interest on evaded business taxes (Section 235 of the Tax Code) may no longer be deducted as business expenses"
6317,"Regarding the deductibility of the other interest on tax claims, reference is made to the statements on Section 10 (1) No. 5 and Section 12 (3) EStG and the amendments to the Corporate Income Tax Act (to Section 10 No. 2 KStG)"
6318,"Anniversary provisions that were formed in balance sheets up to December 30, 1988 or"
6319,"are still formed, must be dissolved in accordance with Section 5 (4), Section 52 (6) EStG on the following three balance sheet dates by at least one third increasing the profit"
6320,"On balance sheet dates from December 31, 1988 to December 31, 1992 inclusive, anniversary provisions may not be formed"
6321,"According to this, provisions may only be set up for entitlements arising from January 1, 1993 if the employment relationship has existed for at least 10 years, the service anniversary requires an employment relationship of at least 15 years and the commitment is made in writing"
6322,"From the assessment period 1990 onwards, the taxpayer who determines his profit in accordance with § 5 EStG can, in addition to the previously permitted valuation methods for inventory assets, also use the so-called"
6323,"Apply Lifo assessment procedure (Section 6 Paragraph 1 No. 2a, Section 51 Paragraph 1 No."
6324,z EStG)
6325,This valuation method assumes that the most recently purchased or manufactured assets are first resold or consumed (last in-first out)
6326,"The prerequisite is that the goods are of the same type, the commercial law principles of proper bookkeeping are not violated, the trade balance is proceeded accordingly and the discounted import goods discount is not used"
6327,A change to another valuation method is only possible with the consent of the tax office
6328,"As a result of the general introduction of the Lifo valuation of inventories for fiscal years ending in the assessment period 1990, the previously existing special regulation, which provided for the Lifo method for certain precious metals and copper, can be lifted from this point in time"
6329,"Due to the limitation of the price increase reserve and the halving of the import goods discount, reference is made to the statements on Section 51 (1) No. 2 EStG"
6330,"In the event of the sale of certain fixed assets (§§ 6b, 6c EStG), the profit from the sale can in future also be transferred to assets that were acquired or manufactured in the financial year prior to the sale (§ 6b (1) sentence 1 EStG)"
6331,The capital gain can be transferred: at 100%
6332,"in the case of the sale of land, buildings and growth on or facilities in the land, at 50%"
6333,"in the case of the sale of wear-and-tear movable assets with a normal useful life of at least 25 years, of ships, of shares in corporations and of living inventory of agricultural and forestry operations in connection with a business conversion"
6334,There is no possibility of transferring shares in corporations
6335,"The changes apply to sales after December 31, 1989 (Section 52 (9) EStG)"
6336,"6 Provisions for determining the excess of income over income-related expenses a) Employee discounts and other pecuniary benefits From 1990, a fundamental revision of the tax treatment of employee discounts and corresponding pecuniary benefits, which are basically to be recorded as wages, comes into force"
6337,"When assessing the price advantage, the usual market price is no longer used, but the final price actually demanded by the employer himself in general business transactions"
6338,"In cases in which the employer does not offer his goods to third-party end consumers, the final price that is charged by the retailer closest to the employer is decisive"
6339,A price reduction of 4% is made from this final price
6340,performed
6341,"In order to keep the administrative expenses within reasonable limits, the price advantages are only taxed if they exceed DM 2,400"
6342,"This regulation is limited to goods and services that are manufactured, sold or provided in the employer's company"
6343,It does not apply to employees of group companies
6344,"In addition, the goods may not be manufactured, sold or provided primarily for the needs of the employer's employees"
6345,This means that z
6346,"The discount allowance of DM 2,400 cannot be taken into account for canteen meals"
6347,"Deputates, such as"
6348,"house drinks and free tobacco, on the other hand, are subject to the discount scheme"
6349,The discount allowance applies to each individual employment relationship
6350,"In the case of several employment relationships that are entered into at the same time next to one another or one after the other over the course of a calendar year, the discount allowance can be granted multiple times"
6351,The previously existing option of taxing pecuniary benefits from the free or discounted sale of goods and services in accordance with Section 40 EStG will not be affected by the new regulation
6352,"In these cases, the unreduced customary final price, an official value in kind or an officially fixed average value for taxation is used; the pecuniary benefits are not reduced by the discount allowance"
6353,"b) Mileage flat rate and deductible expenses for work equipment As of 1989, the kilometer flat rate according to § 9 EStG for journeys between home and work place when using a car is increased to DM 043 and when using a motorcycle or scooter to DM 019 (§ 52 para 13 EStG)"
6354,From 1990 the lump-sum kilometer amount was DM 050 when using a car and DM 022 when using a motorcycle or scooter
6355,"In addition, it is made clear that even the use of a leased car is only subject to the kilometer flat rate"
6356,"In the case of several apartments, trips to the more distant apartment - if there is no double housekeeping - are only recognized as journeys between home and work place if the more distant apartment is not only used occasionally and is considered to be the focus of the employee's life interests"
6357,So then z
6358,Flights by a foreign employee to his home country are no longer taken into account
6359,The kilometer lump sum applies from 1990 even if additional trips are required on working days outside of regular working hours
6360,"In Section 9 Paragraph 1 No. 6 EStG, the application of Section 6 Paragraph 2 EStG to work equipment, which was previously essentially permitted by Section 30 Paragraph 3 LStR for reasons of simplification, is anchored in law"
6361,"At the same time, it is made clear that when determining the deductible expenses for work equipment, the provisions on the deduction for wear and tear and reduction in substance mentioned in Section 9 No. 7 EStG must be observed"
6362,The other changes to § 9 EStG are of an editorial nature
6363,c) New flat-rate employee amount § 9a No. 1 EStG brings the new flat-rate employee amount of DM 2000
6364,Employees whose income-related expenses exceed the lump sum can claim these for tax purposes as before
6365,"As before, the deduction of the employee lump sum must not lead to negative income from non-self-employed work"
6366,"7 Special expenses a) Regulations of Section 10 EStG sentence 3 of Section 10 (1) No. 1 EStG, which contains an unnecessary clarification on real splitting, is repealed to avoid misunderstandings (see Section 32 (6) last sentence EStG)"
6367,"According to Section 10 Paragraph 1 No. 3 EStG, from VZ 1990 onwards, contributions made to building societies to obtain building loans can only be deducted half as special expenses"
6368,The limitation of the special expenses deduction from building loan contributions to one and a half times is lifted from VZ 1988
6369,"In Section 10 Paragraph 1 No. 5 EStG, the deduction of special expenses from certain burden equalization charges according to Section 211 Paragraph 1 No. 1 and 2 LAG from VZ 1990 is replaced by the corresponding deduction of interest on back tax claims (Section 233a AO), deferral and suspension interest (Section 234 237 AO)"
6370,Reference to the amendment to Section 12 No. 3 EStG
6371,The equation contained in § 10 Paragraph 1 No. 7 Sentence 4 EStG of expenses for domestic training or further education for personal use with expenses of the taxpayer for his vocational training or further training in a non-exercised profession according to § 10 Paragraph 1 No. 7 Sentence 1 EStG deleted from 1990
6372,Job-related expenses e.g.
6373,for training as a housekeeper or to refresh the knowledge of a housekeeper who does not practice her profession can still be deducted in accordance with Section 10 Paragraph 1 No. 7 Clause 1 EStG
6374,"In Section 10 (2) EStG - introductory sentence - the word ""contributions"" has been replaced by the word ""amounts"" with the aim of making it clear that expenses only belong to the pension expenses to the extent that they are special expenses"
6375,The ban on borrowing in accordance with Section 10 (2) No. 1 EStG is lifted from VZ 1988
6376,The amendment to Section 10 Paragraph 2 No. 3 - new - EStG is an editorial adjustment to an amendment to 5 VermBG
6377,"Section 10 (3) EStG contains the following changes, which will take effect from 1990: Introduction of the legal definitions ""basic maximum amount"", ""advance deduction"" and ""half maximum amount""; Increase in advance deduction to DM 4000/8000 (single / married); Final list of the reduction cases in which the taxpayer is relieved of his retirement provision and - contrary to the applicable law - of his health insurance through tax-free benefits from third parties; the reduction takes place in a flat-rate procedure in which the reduction amount is calculated on the basis of a uniform assessment basis with different percentages due to the relief of old-age and health care"
6378,The retirement pension reduction rate is 9 percent
6379,", which in health care to 3 per cent"
6380,has been fixed
6381,"If there are several cases of reduction in parallel, the sum of the wages, the income according to § 22 No. 4 EStG and the profit is the assessment basis for the reduction"
6382,"If the taxpayer receives relief for both retirement and health care, the advance deduction is 12%"
6383,to reduce the relevant assessment base
6384,"The prohibition of cumulation according to § 10 Abs 5 EStG has been lifted from VZ 1990; In the end, however, it remains guaranteed by the right to vote according to Section 10 (4) EStG"
6385,"b) Special expenses lump sum, pension lump sum In § 10c (1) EStG, the special expenses lump sum has been reduced to 108/216 DM (single / married persons) from AP 1990; higher expenses acc"
6386,"§ 10 Paragraph 1 No. 1 1a, 4 to 7 and § 10b EStG can be considered as special expenses upon proof"
6387,The flat-rate pension amount of DM 300/600 is canceled
6388,"From 1990, the general flat-rate pension is expanded to include the advance deduction for special expenses"
6389,This increases the flat rate pension for employees subject to social insurance in the lower and middle wage ranges
6390,"c) Deduction of losses In Section 10d of the Income Tax Act, the time limit on loss carryforwards is lifted"
6391,This applies for the first time to unbalanced losses that arose in VZ 1985
6392,Remaining losses are to be determined separately from VZ 1990 through notices
6393,"8 Non-deductible expenses In § 12 No. 3 EStG it is made clear that the prohibition of deducting taxes from income and other personal taxes as well as sales tax for personal consumption and for supplies or other services that are withdrawn, also for ancillary services within the meaning of § 3 Paragraph 3 AO applies, which are attributable to these taxes, with the exception of interest on back tax claims (§ 233a AO), deferral and suspension interest (§§ 234 237 AO)"
6394,Reference to Section 10 Paragraph 1 No. 5 EStG
6395,"9 Changes to the individual types of income a) Discounts for severance payments to heirs who are giving up and for debt repayment in agriculture and forestry In paragraphs 4 and 5 of Section 14a of the Income Tax Act, sliding regulations are introduced which, if the relevant income limits are exceeded, result in a gradual reduction in the tax exemptions Compensation for heirs and debt repayment lead"
6396,The new regulations apply to sales and withdrawals from 1986 onwards
6397,"In addition, the exemption for debt repayment under paragraph 5 will be extended by four years until the end of 1992"
6398,b) Freelance work The tax exemption for freelance professions according to Section 18 (4) EStG will be abolished from 1990 onwards
6399,"c) Employed work The repeal of paragraphs 3 to 5 of Section 19 EStG is due to the elimination of the Christmas exemption of DM 600 and the employee exemption of DM 480, which are included in the new flat-rate employee amount of DM 2000 according to Section 9a EStG rise up"
6400,d) Transfer of asset shares to employees Profit bonds and profit participation certificates of the credit institutions are only beneficiary from 1990 if the credit institution transfers them to its own employees (§ 19a EStG)
6401,e) Income from capital assets The amendment to Section 20 (1) No. 1 EStG makes it clear that hidden profit distributions also belong to the other remuneration
6402,"As of 1989, the amendment to Section 20 (1) No. 6 EStG limits the tax exemption of income from insurance policies with a term of at least twelve years to interest of 35%"
6403,(so-called
6404,accounting interest)
6405,"In the case of insurance policies with a term of less than twelve years, the calculated interest is subject to income tax as before"
6406,All other income is also taxable regardless of the term of the insurance
6407,"The tax inflow is already assumed, even without actual payment, if the insurance contract is credited with extra interest"
6408,Section 20 (1) no.4 EStG makes it clear that the difference between the purchase price and the redemption amount in the case of compounded and discounted securities and claims (e.g.
6409,"From an economic point of view, it has the character of interest and thus belongs to the income from capital assets"
6410,"f) Age relief amount In Section 24a of the Income Tax Act, the maximum limit for the age relief amount is raised from 3000 DM to 3720 DM"
6411,"This means that the retirement allowance will no longer apply to recipients of retirement income who do not receive pension payments (Section 19 (2), Section 22, No. 4, lit."
6412,b EStG) or income from life annuities (Section 22 No. 1 lit.
6413,"a EStG), balanced"
6414,"(Applies from 1990) 10 Assessment regulations In the case of separate assessments of spouses, from 1990 onwards, according to Section 26a (2) of the Income Tax Act, special expenses are only deducted from the assessment of the spouse who paid them, waiving a joint determination"
6415,The flat rate taxation according to § 31 EStG will be abolished from 1990
6416,"11 Tariff regulations a) Child allowance The child allowance (Section 32 (6) EStG) will be increased from 1990 to DM 3024 from DM 2,484"
6417,"In the case of children of parents who are not married to one another or of spouses living permanently apart, one parent can have the child allowance transferred to the other parent if the latter does not essentially (previously: not or only to an insignificant part) meet his or her maintenance obligations"
6418,"b) Household allowance The household allowance (Section 32 (7) EStG) will be increased from 1990 onwards, like the basic allowance, from DM 4752 to DM 5616"
6419,"In addition, its use is made dependent on the child to be taken into account being registered in the home of the single parent"
6420,"So far, the assignment of the child has been sufficient"
6421,Children of unmarried parents or spouses who are permanently separated and who are registered with both parents are allocated to the parent in whose apartment they were first registered in the calendar year for the household allowance
6422,"If none of the parents has priority, they are to be assigned to the mother or, with her consent, to the father; consent cannot be revoked"
6423,c) Retirement allowance The retirement allowance (Section 32 (8) EStG) will be abolished from 1990; but see also § 24a EStG
6424,"d) Income tax rate In the provision of § 32a EStG on the income tax rate, the basic tax-free amount is increased from DM 4,752 / DM 9504 to DM 5616 / DM 11232 (single / married persons) with effect from 1990, the tax rate in the lower proportional zone of 22%"
6425,on 19 BC
6426,"lowered, a linearly rising marginal tax burden introduced, the top tax rate of 56 percent"
6427,on 53 BC
6428,"degraded; it applies to parts of the taxable income over DM 120,000 / DM 240000"
6429,"e) Progression reservation As of 1990, the catalog of tax-free wage replacement benefits that are subject to the progression reservation has been considerably expanded in Section 32b (1) No. 1 EStG"
6430,All wage replacement benefits are now only recorded with their benefit amounts; the previous extrapolation to a gross amount is not applicable
6431,"As before, the new employee lump sum of DM 2000 will be deducted from the wage replacement benefits, provided that it has not had an impact on income from employment"
6432,The providers of social benefits are obliged to issue the beneficiaries with certificates of the wage replacement benefits for submission to the tax office and obliged to inform the recipient of the benefits - similar to the so-called
6433,Withholding tax - to point out the obligation to declare
6434,"The progression proviso is no longer applied in the annual income tax adjustment, but only in the assessment procedure"
6435,"f) Extraordinary burden In Section 33a (1) of the Income Tax Act, the maximum amounts for the deduction of maintenance expenses will be increased from 1990 DM 4500 to 5400 DM and from 2484 DM to 3024 DM"
6436,"The group of people for whom maintenance expenses can be deducted up to the maximum amount of the child tax allowance will be expanded to include children, for whom the taxpayer can in future also receive a training allowance under Section 33a (2) EStG"
6437,"The tax exemption (Section 33a (1a) of the EStG) for maintaining the parent-child relationship, which parents who are responsible for cash maintenance receive, will be abolished in 1990"
6438,"Training allowances (Section 33a (2) EStG) can also be used for children abroad who have not yet reached the age of 27 at the beginning of the calendar year, in addition to the tax reduction under Section 33a (1) EStG"
6439,"The same applies to children whose completion of vocational training has been delayed beyond the age of 27 due to the completion of basic military service or community service, up to their 29th birthday"
6440,"For the crediting of own income and remuneration of the above-mentioned children, in addition to the amount that is not subject to credit under Section 33a (1) of the Income Tax Act, no further crediting amount can be claimed"
6441,"The new regulation applies with regard to children abroad from 1988 and with regard to children whose completion of vocational training has been delayed due to basic military service / alternative service from 1990. In Section 33a (3) EStG, the maximum amount for taking into account expenses incurred by a taxpayer through employment help in the household because of a helpless person or comparable expenses due to placement in a home, increased to 1,800 DM from full-time 1990 onwards"
6442,"According to the new sentence 3 of Section 33a (4) EStG, training grants that are received for part of the calendar year only reduce the pro-rata maximum amounts and training allowances for the calendar months for which the grants are intended"
6443,Section 33b EStG is essentially editorially adapted to the changes to the terms in the Disabled Persons Act (e.g.
6444,Handicapped instead of physically handicapped)
6445,"g) Tax rates for extraordinary income In Section 33b (6) - new - of the Income Tax Act (EStG), a flat-rate care allowance of DM 1800 from VZ 1990 has been introduced for taxpayers who are exposed to extraordinary burdens from caring for a helpless person"
6446,"For extraordinary income within the meaning of Section 34 (2) EStG, the tariff reduction in Section 34 (1) EStG with half the average tax rate as of 1990 is no longer granted without restrictions"
6447,"To this extent, it can still be considered as a base discount for extraordinary income of up to DM 2 million"
6448,Another partial amount of up to DM 3 million is subject to a two-thirds average tax rate
6449,Extraordinary income in excess of DM 5 million is no longer eligible for collective bargaining
6450,"Income that represents remuneration for a multi-year activity, e.g."
6451,"Wage back payments are added to the remaining income with one third for the purposes of tax calculation, the income tax attributable to this third is tripled and this tripled income tax is added to the income tax calculated without including the extraordinary income"
6452,The new regulations are applicable for the first time from 1990
6453,The addition to Paragraph 3 No. 1 of § 34b EStG ensures that the restriction of § 34 EStG does not affect the tax relief under § 34b EStG
6454,There is no application requirement for the application of the provision
6455,"Both changes apply from 1990. 12 Tax reductions In relation to Section 34c (4) EStG Foreign income from the operation of merchant ships in international traffic is, as before, subject to half the average tax rate without restriction"
6456,The discount is also applicable to the foreign parts of the profits from the sale of commercial ships operated in international traffic
6457,"The tariff reduction in accordance with Section 34, Paragraph 1 of the Income Tax Act applies to the portion of such capital gains that is deemed to be made domestically"
6458,The amendment to § 34f EStG means that the so-called
6459,"Building child benefit raised from DM 600 to DM 750 as a tax reduction, all other things being equal"
6460,13 Tax collection Section 36 (2) No. 2 EStG regulates the proportionate taxation and offsetting of capital gains tax when selling fixed-income securities
6461,"Without taking into account the capital gains tax to be withheld at the time of interest payment, 10 percent"
6462,"credit the accrued interest received as capital gains tax, taking into account any accrued interest paid"
6463,"14 Income tax deduction a) Income tax tables In tax brackets V and VI, the marginal tax burden is set at 53 percent"
6464,limited (§ 38c EStG)
6465,"b) Income tax card (§ 39 EStG) a) There is no need to enter the number of children on the income tax card, this does not apply to Berlin"
6466,"b) In future, the full child allowance of DM 3024 can also be entered on the income tax card if the other parent has been living abroad for years, with maintenance payments from the other parent e.g."
6467,"long-term unemployment is unlikely, the other parent is civilly released from his or her maintenance obligation or the other parent has irrevocably consented to the transfer"
6468,"If in these cases the child tax allowance of DM 1,512 has already been entered on the income tax card of the other parent, this should not change"
6469,Both the parent benefiting from the registration and the other parent affected by the transfer of the child allowance are assessed for income tax after the end of the calendar year (Section 46 Paragraph 2 No. 4a EStG)
6470,c) Exemptions for wage tax deduction (§ 39a EStG) From 1990 the entry of the retirement allowance on the wage tax card no longer applies
6471,"In addition, the tax reduction for each child increases from DM 2,400 to DM 3,000 in accordance with Section 34f of the Income Tax Act"
6472,"However, this only applies if the beneficiary property was manufactured or purchased after December 31, 1989"
6473,"For privileged objects manufactured or purchased before January 1, 1990, the tax reduction is still DM 2,400 (Section 52 (26) EStG)"
6474,"For the entry of an exemption amount on the income tax card, the application limit in the field of income-related expenses is based only on the part of the income-related expenses that exceeds DM 2000, in line with the new flat-rate employee amount from 1990"
6475,"Otherwise, however, the application limit is reduced to DM 1200"
6476,This means that income-related expenses alone can only lead to an exemption if they total more than DM 3200
6477,Special expenses and extraordinary expenses can be taken into account individually if they total more than DM 1200
6478,Are z
6479,"Special expenses and extraordinary burdens together only 1000 DM, so income-related expenses of more than 2200 DM must be proven if an exemption is to be entered on the income tax card"
6480,d) Implementation of the wage tax deduction Most of the changes (§ 39b EStG) are editorial follow-up changes
6481,"In deviation from Section 34 (1) of the Income Tax Act, the full tax is levied on compensation over DM 2 million"
6482,The changes to §§ 39c and 39d EStG are mainly of an editorial nature
6483,"d) Flat-rate wage tax In Section 40 of the Income Tax Act, the flat-rate limit of DM 1,000 per year for flat-rate wage tax with a company-specific flat rate tax rate is increased to DM 2,000"
6484,The wage tax flat rate (25%
6485,) in the case of reduced or free meals is expressly permitted
6486,"In addition, in the cases of Section 40 (2) EStG, the flat-rate wage tax is no longer dependent on the approval of the tax office; nor does it have to be a large number of cases"
6487,"In Section 40a of the Income Tax Act, the daily wage limit for short-term employment is set to DM 120 and the flat rate tax rate to 25%"
6488,raised
6489,"For employment on a small scale and for low wages, a flat tax rate of 15% applies from 1990"
6490,"In addition, the limits on the duration of employment and wages applicable to the flat-rate wage tax for part-time employees are related to the wage payment period; In addition to the weekly limits, monthly limits are determined that are derived from the weekly limits"
6491,"In addition, the hourly wage limit will be increased from DM 12 to DM 18"
6492,"For temporary workers in agriculture and forestry companies, the flat rate tax increases from 2 to 3 percent"
6493,The future security allowance regulated in Section 2 (3) No. 2 LStDV no longer applies from 1990
6494,"Instead, in Section 40b of the Income Tax Act, the flat-rate limit of DM 2,400, up to which contributions and grants may be taxed at a flat rate, is increased to DM 3,000"
6495,"Likewise, from 1990 the flat rate wage tax for certain future security benefits of 10%"
6496,on 15 BC
6497,elevated
6498,e) Income tax deduction and annual income tax adjustment The record-keeping obligations that previously existed in accordance with §§ 41 41b EStG are extended to include the subsidy for maternity benefit under the Maternity Protection Act and compensation under the Federal Disease Act
6499,"However, only the benefits actually paid need to be recorded by the employer"
6500,"By entering the capital letter U in the wages account, the employer must note the cases in which the employment relationship continues, but the employee is not entitled to wages"
6501,The employer is not obliged to write out pay slips for his employees in certain cases
6502,Pay slips must be written out for the last time for the 1987 calendar year
6503,The changes to § 41c EStG are based on the abolition of the payslip procedure
6504,"In the case of other payments that represent remuneration for an activity that extends over several years, an annual income tax adjustment can be carried out in accordance with Section 42 (4) EStG"
6505,The application of the progression proviso in the annual income tax adjustment is no longer possible in future; such cases will be assessed
6506,"The changes to §§ 42a, 42b EStG are mainly of an editorial nature"
6507,The tax relief for employee inventions expires at the end of 1988
6508,The local responsibility of the tax office for annual income tax adjustment will in future be based on the provisions of the tax code (§ 42c EStG); the previous rules of jurisdiction apply for the last time to the 1987 calendar year. Paragraph 2 No. 2 of Section 42d of the Income Tax Act concerns a revision of the wording of the law
6509,The exclusion of liability already regulated in § 10 Paragraph 3 LStDV is incorporated into the law
6510,"The institute of recognition, according to which a wage tax liability notice does not need to be issued if the employer recognizes the obligation to pay, is extended to the additional demand for flat-rate wage tax"
6511,15 Investment income tax a) Investment income with tax deduction The provision of § 43 EStG regulates a core area of ​​the new investment income tax
6512,"It determines what interest from capital claims of any kind, z"
6513,"from deposits and bonds - apart from income from life insurance policies and from unit certificates in investment funds, for which there are separate regulations - from 1989 the tax deduction from capital income in the amount of 10%"
6514,subject
6515,"Since the creditors and debtors of the investment income are generally not known for the capital claims referred to in Section 43 (1) No. 8 (a) EStG, these capital income are in all cases subject to tax deduction by the domestic debtor (issuer)."
6516,Interest from simple loan claims (Section 43 (1) (b) EStG) is generally only subject to tax deduction if the debtor is a domestic credit institution
6517,Domestic branches of foreign credit institutions are treated the same as domestic credit institutions
6518,"In the following five cases, however, no tax is to be withheld: 1 for capital income from credit transactions where the creditor is also a domestic credit institution (interbank business), 2 for interest from savings deposits with a statutory notice period without any additional agreement, 3 for interest from current accounts, if the Credit with a maximum of 05%"
6519,"interest is paid, 4 for interest from a building society loan agreement, if the taxpayer has been granted a home construction premium or an employee savings allowance - regardless of the year - for expenses to the building society, 5 for investment income up to a maximum of ten German marks credited only once per calendar year (De minimis rule)"
6520,Section 43 (1) no.8 letter c EStG regulates the exception to the principle that the debtor of the investment income must be a domestic credit institution
6521,"After that, other debtors, e.g."
6522,"all other companies and legal entities under public law to deduct the tax if the creditor of the investment income has its seat, management, domicile or habitual residence abroad"
6523,Domestic branches of foreign credit institutions are deemed to be domestic creditors
6524,Only domestic investment income is subject to capital gains tax
6525,"Therefore, no tax is to be deducted from interest on foreign bonds, since in these cases the debtor (issuer) has residence, management or headquarters abroad (Section 43 (3) EStG)"
6526,b) Capital gains tax for life insurances § 43a Abs 1 Nr 2 EStG regulates the tax deduction in the amount of 10 percent
6527,for insurance income that is subject to income tax as of 1989 due to the amendment to Section 20 (1) No. 6 EStG
6528,The tax deduction of 10%
